35.05,-106.62
61.17,-149.99
35.23,-101.7
33.65,-84.42
30.19,-97.67
41.93,-72.68
33.57,-86.75
45.8,-108.53
46.77,-100.75
36.13,-86.68
43.57,-116.22
42.37,-71.02
42.93,-78.73
34.2,-118.35
39.18,-76.67
32.9,-80.03
41.42,-81.85
35.22,-80.93
38.37,-81.6
39.05,-84.67
41.15,-104.82
32.85,-96.85
39.9,-84.2
38.85,-77.03
37.77,-99.97
39.83,-104.66
32.9,-97.03
41.53,-93.65
42.23,-83.33
40.7,-74.17
46.9,-96.8
26.07,-80.15
43.58,-96.75
41.62,-87.42
21.32,-157.93
29.65,-95.28
41.07,-73.7
38.95,-77.45
29.97,-95.35
37.65,-97.43
39.73,-86.27
40.8,-73.1
43.6,-110.73
32.32,-90.08
30.5,-81.7
40.65,-73.78
36.08,-115.17
33.93,-118.4
41.13,-100.68
40.77,-73.9
33.82,-118.15
34.73,-92.23
31.95,-102.22
39.32,-94.72
28.43,-81.32
41.78,-87.75
35.05,-90
42.93,-71.43
25.82,-80.28
42.95,-87.9
44.88,-93.22
29.98,-90.25
37.73,-122.22
20.90,-156.43
35.4,-97.6
41.3,-95.9
34.05,-117.6
41.98,-87.9
34.2,-119.2
26.68,-80.12
45.6,-122.6
39.87,-75.25
33.43,-112.02
44.38,-100.28
40.5,-80.22
33.83,-116.5
41.73,-71.43
44.05,-103.07
35.88,-78.79
42.2,-89.1
26.53,-81.75
32.73,-117.17
29.53,-98.47
38.18,-85.73
47.45,-122.3
37.62,-122.38
37.23,-93.38
37.37,-121.93
18.44,-66
40.78,-111.97
38.7,-121.58
33.68,-117.87
38.75,-90.37
41.5,-74.1
40.85,-74.06
27.97,-82.53
36.2,-95.9
32.12,-110.93
34.22,-118.48
